movie_title,release_date,hero,villian,song
Snow White and the Seven Dwarfs,1937-12,Snow White,Evil Queen,Some Day My Prince Will Come
Pinocchio,1940-02,Pinocchio,Stromboli,When You Wish upon a Star
Fantasia,1940-11,,Chernabog,
Dumbo,1941-10,Dumbo,Ringmaster,Baby Mine
Bambi,1942-08,Bambi,Hunter,Love Is a Song
Saludos Amigos,1943-02,Donald Duck,,Saludos Amigos
The Three Caballeros,1945-02,Donald Duck,,
Make Mine Music,1946-04,,,
Fun and Fancy Free,1947-09,Mickey Mouse,Willie the Giant,
Melody Time,1948-05,,,Little Toot
The Adventures of Ichabod and Mr. Toad,1949-10,Mr. Toad and Ichabod Crane,Mr. Winkie and The Headless Horseman,The Merrily Song
Cinderella,1950-02,Cinderella,Lady Tremaine,Bibbidi-Bobbidi-Boo
Alice in Wonderland,1951-07,Alice,Queen of Hearts,The Unbirthday Song
Peter Pan,1953-02,Peter Pan,Captain Hook,You Can Fly!
Lady and the Tramp,1955-06,Lady and Tramp,Si and Am,Bella Notte
Sleeping Beauty,1959-01,Aurora,Maleficent,Once Upon a Dream
One Hundred and One Dalmatians,1961-01,Pongo,Cruella de Vil,Cruella De Vil
The Sword in the Stone,1963-12,Arthur,Madam Mim,Higitus Figitus
The Jungle Book,1967-10,Mowgli,Kaa and Shere Khan,The Bare Necessities
The Aristocats,1970-12,Thomas and Duchess,Edgar Balthazar,Ev'rybody Wants to Be a Cat
Robin Hood,1973-11,Robin Hood,Prince John,Oo De Lally
The Many Adventures of Winnie the Pooh,1977-03,Winnie the Pooh,,Winnie the Pooh
The Rescuers,1977-06,Bernard and Miss Bianca,Madame Medusa,The Journey
The Fox and the Hound,1981-07,Tod and Copper,Amos Slade,Best of Friends
The Black Cauldron,1985-07,Taran,Horned King,
The Great Mouse Detective,1986-07,Basil,Professor Ratigan,The World's Greatest Criminal Mind
Oliver & Company,1988-11,Oliver,Sykes,Once Upon a Time in New York City
The Little Mermaid,1989-11,Ariel,Ursula,Under the Sea
The Rescuers Down Under,1990-11,Bernard and Miss Bianca,Percival C. McLeach,
Beauty and the Beast,1991-11,Belle,Gaston,Be Our Guest
Aladdin,1992-11,Aladdin,Jafar,A Whole New World
The Lion King,1994-06,Simba,Scar,Circle of Life
Pocahontas,1995-06,Pocahontas,Governor Ratcliffe,Colors of the Wind
The Hunchback of Notre Dame,1996-06,Quasimodo,Claude Frollo,God Help the Outcasts
Hercules,1997-06,Hercules,Hades,Go the Distance
Mulan,1998-06,Mulan,Shan Yu,I'll Make a Man Out of You
Tarzan,1999-06,Tarzan,Clayton,You'll Be in My Heart
Fantasia 2000,1999-12,,,
Dinosaur,2000-05,Aladar,Kron,
The Emperor's New Groove,2000-12,Kuzco,Yzma,My Funny Friend and Me
Atlantis: The Lost Empire,2001-06,Milo Thatch,Commander Rourke,Where the Dream Takes You
Lilo & Stitch,2002-06,Lilo and Stitch,,He Mele No Lilo
Treasure Planet,2002-11,Jim Hawkins,John Silver,I'm Still Here
Brother Bear,2003-11,Kenai,Denahi,Look Through My Eyes
Home on the Range,2004-04,Maggie,Alameda Slim,
Chicken Little,2005-11,Ace Cluck,Foxy Loxy,
Meet the Robinsons,2007-03,Lewis,Doris,Little Wonders
Bolt,2008-11,Bolt,Dr. Calico,I Thought I Lost You
The Princess and the Frog,2009-12,Tiana,Dr. Facilier,Almost There
Tangled,2010-11,Rapunzel,Mother Gothel,I See the Light
Winnie the Pooh,2011-07,Winnie the Pooh,,Winnie the Pooh
Wreck-It Ralph,2012-11,Ralph,Turbo,Sugar Rush
Frozen,2013-11,Elsa,Prince Hans,Let It Go
Big Hero 6,2014-11,Hiro Hamada,Professor Callaghan,Immortals
Zootopia,2016-03,Judy Hopps,,Try Everything
Moana,2016-11,Moana,,How Far I'll Go
